week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
0,Brayden Schager,146078,QB,HAWAII,1,62.5,32,34,12.2,2.75,1,2,5.6,50.0,17,0,10,15.0,38,3,13,180,71.8,82.0,78.8,69.8,1,0,40,0,10.0,88.2,2.6,1,3,0,0,2,1,2.5,203,6.0
0,Preston Stone,124716,QB,SMU,1,66.7,30,32,11.9,2.78,1,2,5.7,59.4,19,0,9,5.0,34,1,13,287,70.6,80.3,79.0,69.4,0,1,37,1,0.0,82.4,0.0,0,2,0,1,1,1,2.7,257,8.0
0,Brendon Lewis,131687,QB,NEVADA,1,66.7,24,27,6.0,2.24,0,0,0.0,51.9,14,0,11,12.5,29,2,7,239,74.5,72.6,60.1,75.8,0,0,33,0,9.1,90.4,3.4,1,1,1,2,2,0,0.0,132,4.9
0,Devon Dampier,171556,QB,NEW MEXICO,1,84.0,25,26,8.6,2.29,0,1,3.4,69.2,18,0,3,14.3,28,3,8,241,69.4,76.8,73.6,68.2,1,0,32,1,0.0,100.2,0.0,0,2,0,0,1,0,0.0,172,6.6
0,DJ Uiagalelei,122162,QB,FLORIDA ST,1,79.2,24,26,8.2,2.63,1,0,0.0,69.2,18,0,10,5.3,29,1,13,167,69.9,68.2,67.0,62.3,1,0,32,0,10.0,90.1,3.4,1,2,0,0,0,0,0.0,189,7.3
0,Haynes King,124329,QB,GA TECH,1,68.8,16,16,6.2,2.38,0,0,0.0,68.8,11,0,4,0.0,16,0,6,176,73.7,71.5,63.2,69.2,0,0,16,0,0.0,97.4,0.0,0,0,0,0,0,0,0.0,146,9.1
0,Kevin Jennings,158272,QB,SMU,1,80.0,5,5,6.8,3.23,0,0,0.0,80.0,4,0,3,0.0,6,0,2,287,64.9,59.1,62.2,57.0,0,0,8,0,0.0,111.7,0.0,0,1,0,0,0,0,0.0,54,10.8
0,Jaden Smith,102637,WR,NEVADA,1,100.0,1,1,11.0,3.5,0,0,0.0,100.0,1,0,0,0.0,1,0,1,239,65.3,62.5,73.1,,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,18,18.0
0,Tommy Mellott,147646,QB,MONTANA ST,1,82.8,29,32,6.9,2.48,1,0,0.0,65.6,21,0,11,12.5,36,3,12,233,22.7,63.1,54.5,73.2,1,0,36,0,27.3,104.3,8.3,3,1,0,1,2,2,5.6,205,6.4
0,Daniel Richardson,97103,QB,FL A&M,1,79.3,29,31,11.7,2.38,0,2,6.1,71.0,22,0,6,4.3,32,1,15,164,70.4,88.4,87.8,64.6,0,0,34,0,0.0,131.9,0.0,0,1,1,1,3,2,5.9,286,9.2
