Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,Calais Campbell,4364,DI,BLT,1,0,,,10.3,,,0,0,0,,3,60.2,50.5,77.0,66.5,35.2,71.1,0,,,0,0,0,0.0,0,3,29,1,0,0,0,0,0,0.0,
1,Kareem Jackson,5545,S,DEN,1,0,13.0,100.0,100.0,31.0,31.0,0,0,0,0.0,10,45.8,43.5,0.0,,69.7,82.9,0,17,0.0,0,0,1,118.8,1,35,35,0,1,1,0,17,4,0.5,17.0
1,Devin McCourty,5552,S,NE,1,0,,,100.0,,,0,0,0,,19,68.2,72.1,75.6,,65.4,84.1,0,,0.0,0,0,0,0.0,0,37,37,0,5,0,0,0,0,0.0,
1,Jerry Hughes,5556,ED,HST,1,0,,,2.6,,,0,0,0,,13,68.2,93.6,81.5,86.6,68.0,73.0,1,,50.0,1,0,0,0.0,0,1,38,3,1,0,0,0,0,0.0,
1,Carlos Dunlap,5579,ED,KC,1,0,8.0,100.0,5.0,1.0,1.0,0,0,0,0.0,16,57.5,47.9,78.2,55.9,67.6,73.8,0,8,0.0,0,0,0,100.0,1,1,20,1,1,1,0,8,0,8.0,8.0
1,Von Miller,6154,ED,BUF,1,0,,,3.7,,,0,0,0,,4,75.7,89.8,76.4,77.9,70.7,74.9,0,,0.0,0,0,0,0.0,0,1,27,3,1,0,0,0,0,0.0,
1,Patrick Peterson,6157,CB,MIN,1,1,11.5,66.7,100.0,10.8,7.2,0,0,0,0.0,18,50.5,55.7,77.4,,80.9,78.7,0,23,0.0,0,0,0,93.1,4,43,43,1,3,6,0,51,27,1.2,12.8
1,Robert Quinn,6166,ED,CHI,1,0,,,3.6,,,0,0,0,,6,60.0,49.6,81.8,58.5,43.1,71.2,0,,,0,0,0,0.0,0,1,28,0,0,0,0,0,0,0.0,
1,Justin Houston,6222,ED,BLT,1,0,,,2.2,,,0,0,0,,3,61.0,82.1,78.4,76.2,67.6,41.9,0,,50.0,1,0,0,0.0,0,1,45,1,1,0,0,0,0,0.0,
1,Josh Bynes,6503,LB,BLT,1,0,4.0,50.0,94.7,18.0,9.0,0,0,0,0.0,3,49.9,31.0,74.4,60.0,31.6,27.1,0,13,100.0,1,0,0,70.8,1,18,19,0,0,2,0,13,9,0.7,13.0
1,Stephon Gilmore,7016,CB,IND,1,0,9.9,50.0,100.0,10.3,5.1,0,0,1,12.5,14,71.4,71.6,77.8,,65.8,37.4,0,14,25.0,1,0,0,60.9,4,43,43,0,3,8,0,33,7,0.8,8.3
1,Melvin Ingram III,7024,ED,MIA,1,0,-3.0,100.0,50.0,9.0,9.0,0,0,0,0.0,17,75.9,76.8,76.9,58.3,71.9,72.8,0,-3,0.0,0,0,0,79.2,1,10,20,1,1,1,0,-3,0,-0.3,-3.0
1,Chandler Jones,7027,ED,LV,1,0,,,6.1,,,0,0,0,,23,61.0,67.3,78.2,65.4,62.1,28.9,0,,,0,0,0,0.0,0,2,33,0,0,0,0,0,0,0.0,
1,Bobby Wagner,7050,LB,LA,1,0,-1.0,100.0,86.8,11.0,11.0,0,0,0,0.0,26,59.9,72.5,77.1,86.5,68.4,80.7,0,8,0.0,0,0,0,91.7,3,33,38,2,3,3,0,18,21,0.5,6.0
1,Lavonte David,7060,LB,TB,1,1,3.8,75.0,88.0,13.3,10.0,0,0,1,25.0,30,83.1,79.9,76.6,62.1,55.9,78.3,0,13,0.0,0,1,0,80.2,3,44,50,1,3,4,0,15,2,0.4,5.0
1,Casey Hayward Jr.,7064,CB,ATL,1,1,21.5,50.0,100.0,19.0,9.5,0,0,0,0.0,2,50.3,55.0,77.9,,75.5,44.9,0,40,33.3,1,0,0,95.8,2,40,40,0,1,4,0,71,13,1.9,35.5
1,Demario Davis,7079,LB,NO,1,0,7.0,33.3,100.0,37.0,12.3,0,0,1,33.3,20,69.4,79.3,79.2,61.0,73.9,55.1,0,10,0.0,0,0,0,43.8,1,39,39,0,1,3,0,10,6,0.3,10.0
1,Rodney McLeod,7271,S,IND,1,0,,,100.0,,,0,0,0,,14,60.0,60.2,65.6,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
1,Tashaun Gipson Sr.,7288,S,SF,1,0,10.0,0.0,100.0,,23.0,0,1,1,100.0,28,70.8,80.3,75.8,,77.2,83.6,0,,0.0,0,0,0,39.6,0,24,24,0,1,1,0,0,0,0.0,
1,Harrison Smith,7641,S,MIN,1,1,10.6,80.0,100.0,10.8,8.6,0,0,0,0.0,18,89.3,87.4,78.2,,36.5,72.4,1,15,0.0,0,0,0,48.8,4,43,43,2,5,5,0,26,15,0.6,6.5
1,Darius Slay,7817,CB,PHI,1,0,14.7,33.3,100.0,13.0,4.3,0,1,0,0.0,24,75.3,73.6,77.6,,60.2,63.9,0,29,0.0,0,0,0,92.4,3,41,41,1,3,9,1,55,12,1.4,18.3
1,Tyrann Mathieu,7850,S,NO,1,1,5.7,66.7,100.0,18.5,12.3,0,0,0,0.0,20,76.3,79.2,79.5,,66.2,84.9,0,5,0.0,0,0,0,70.1,2,39,39,1,2,3,0,6,5,0.2,3.0
1,Logan Ryan,7864,S,TB,1,1,16.0,100.0,100.0,20.5,20.5,0,0,0,0.0,30,53.4,54.0,75.7,,63.7,82.6,0,17,0.0,0,0,0,118.8,2,45,45,1,2,2,0,33,1,0.8,16.5
