Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,Brady McBride,77641,QB,TEXAS ST,1,63.2,38,39,9.1,3.0,0,1,2.4,53.8,21,0,18,12.5,49,3,12,314,69.8,55.1,54.8,57.6,0,1,52,0,22.2,77.1,8.2,4,6,0,1,2,4,7.7,222,5.7
1,Brady White,25506,QB,MEMPHIS,1,86.5,37,37,8.7,2.36,0,3,7.9,73.0,27,0,4,15.6,40,5,20,218,71.1,83.7,85.8,66.6,0,1,41,2,0.0,119.2,0.0,0,3,0,0,4,1,2.4,280,7.6
1,Shane Buechele,12659,QB,SMU,1,73.5,34,34,10.7,2.33,0,5,14.7,70.6,24,0,8,4.0,36,1,12,287,70.5,74.1,75.6,60.7,0,2,36,1,12.5,90.9,2.8,1,0,0,0,1,2,5.6,365,10.7
1,Jack Abraham,40557,QB,SO MISS,1,80.0,30,32,7.2,2.56,0,2,5.4,68.8,22,0,7,8.3,38,2,13,296,29.1,65.6,65.5,58.8,0,0,43,0,42.9,100.3,7.9,3,3,0,2,0,1,2.3,314,9.8
1,Gavin Hardison,100827,QB,UTEP,1,67.9,28,28,12.8,2.78,0,2,6.7,60.7,17,0,9,10.5,31,2,12,330,29.5,72.5,78.6,43.7,0,1,33,1,11.1,81.3,3.2,1,2,0,0,1,1,3.0,212,7.6
1,Desmond Trotter,83552,QB,S ALABAMA,1,73.9,23,27,14.4,2.47,0,1,3.4,59.3,16,0,10,5.9,29,1,12,288,71.9,65.0,60.3,66.6,1,2,31,0,0.0,91.4,0.0,0,2,0,3,2,1,3.2,299,11.1
1,Tyler Johnston III,60570,QB,UAB,1,83.3,24,25,4.4,2.32,0,1,3.8,68.0,17,0,3,15.0,25,3,11,321,68.4,70.6,69.6,60.0,1,1,26,0,0.0,92.6,0.0,0,0,0,0,2,1,3.8,143,5.7
1,Logan Bonner,39990,QB,ARK STATE,1,72.7,22,23,11.1,2.36,1,1,3.7,60.9,14,0,5,12.5,25,2,10,113,29.1,62.1,70.0,44.4,0,2,29,1,20.0,55.2,4.0,1,1,0,0,1,1,3.4,133,5.8
1,Grant Wells,97784,QB,MARSHALL,1,73.9,23,23,18.2,2.73,0,5,21.7,69.6,16,0,8,5.9,26,1,12,214,69.5,94.7,95.2,62.9,0,0,26,0,25.0,151.7,7.7,2,1,0,0,4,0,0.0,307,13.3
1,Layne Hatcher,82068,QB,ARK STATE,1,80.0,20,21,11.7,2.28,1,0,0.0,66.7,14,0,6,12.5,24,2,7,113,67.6,60.4,61.6,57.3,0,0,24,0,33.3,90.6,8.3,2,1,0,0,0,1,4.2,166,7.9
1,Zach Wilson,82096,QB,BYU,1,83.3,18,18,12.1,2.49,0,2,11.1,72.2,13,0,1,13.3,18,2,9,128,24.6,90.4,90.2,62.1,0,1,18,0,0.0,128.2,0.0,0,0,0,0,2,1,5.6,232,12.9
1,Jason Bean,83529,QB,N TEXAS,1,66.7,18,18,19.0,2.88,0,3,15.0,61.1,11,0,3,8.3,20,1,8,251,68.0,77.9,76.7,63.9,0,1,22,0,0.0,119.7,0.0,0,2,0,0,3,1,4.5,217,12.1
1,Asher O'Hara,78529,QB,MIDDLE TN,1,69.2,13,14,3.7,2.24,0,0,0.0,64.3,9,0,5,0.0,16,0,1,224,71.2,35.6,28.5,61.7,1,2,18,0,20.0,29.8,6.3,1,1,0,0,0,2,11.1,46,3.3
1,Chase Cunningham,78533,QB,MIDDLE TN,1,90.0,10,11,4.9,2.28,0,0,0.0,72.7,8,0,3,11.1,11,1,3,224,65.6,63.5,63.9,60.0,0,0,11,0,0.0,84.7,0.0,0,0,0,1,0,0,0.0,58,5.3
1,Austin Aune,83528,QB,N TEXAS,1,63.6,11,11,17.2,2.59,0,1,8.3,54.5,6,0,3,14.3,13,1,5,251,20.9,44.4,38.3,63.2,0,0,14,0,33.3,119.9,7.7,1,1,0,0,1,3,21.4,111,10.1
1,Bryson Lucero,97608,QB,UAB,1,77.8,9,9,12.0,2.61,0,1,11.1,77.8,7,0,1,0.0,10,0,6,321,65.4,74.0,77.3,57.3,0,0,10,0,0.0,142.1,0.0,0,1,0,0,1,0,0.0,83,9.2
1,Luke Zban,82147,QB,MARSHALL,1,100.0,6,6,1.5,1.77,0,0,0.0,100.0,6,0,0,0.0,6,0,3,214,67.0,84.1,74.0,71.6,0,0,6,0,,132.6,0.0,0,0,0,0,1,0,0.0,38,6.3
1,Kason Martin,83531,QB,N TEXAS,1,80.0,5,5,12.0,2.22,0,0,0.0,80.0,4,0,2,0.0,5,0,3,251,63.8,64.9,64.1,,0,0,5,0,0.0,94.2,0.0,0,0,0,0,0,0,0.0,33,6.6
1,Baylor Romney,82095,QB,BYU,1,100.0,3,4,4.7,2.45,0,0,0.0,75.0,3,0,1,0.0,4,0,3,128,65.2,69.6,72.4,59.1,0,0,4,0,0.0,113.5,0.0,0,0,0,1,0,0,0.0,47,11.8
1,Christian Anderson,60339,QB,ARMY,1,66.7,3,4,6.0,2.4,0,0,0.0,50.0,2,0,2,0.0,5,0,2,114,72.2,47.1,39.1,56.1,0,0,5,0,0.0,72.9,0.0,0,1,0,1,0,1,20.0,28,7.0
1,Dalen Morris,60474,QB,NAVY,1,66.7,3,4,5.7,4.18,0,1,20.0,50.0,2,0,4,0.0,6,0,0,237,69.7,52.2,62.9,50.2,0,0,7,0,25.0,60.4,16.7,1,1,0,1,0,1,14.3,16,4.0
1,Perry Olsen,101056,QB,NAVY,1,50.0,4,4,12.5,3.57,0,0,0.0,50.0,2,0,3,0.0,7,0,1,237,24.6,41.8,50.2,47.7,0,0,7,0,100.0,58.3,42.9,3,0,0,0,0,0,0.0,14,3.5
1,Chance Lovertich,121427,QB,S ALABAMA,1,66.7,3,3,5.3,2.17,0,0,0.0,66.7,2,0,0,0.0,3,0,2,288,64.8,74.0,73.7,60.0,0,0,3,0,,149.3,0.0,0,0,0,0,1,0,0.0,64,21.3
